3OH!3 ft. Kesha	My First Kiss
BLACKPINK	Ice Cream (with Selena Gomez)
BLACKPINK	Kill This Love
BLACKPINK	Love To Hate Me
BLACKPINK	Lovesick Girls
BLACKPINK	Pretty Savage
BLACKPINK	You Never Know
Blackpink	How you like that
Blake Shelton ft. Pistol Annies and Friends	Boys 'Round Here
BlocBoy JB	Look Alive (feat. Drake)
Blueface 	Thotiana
Blxst, Tyga	Chosen (feat. Ty Dolla $ign)
Bo Burnham	All Eyes On Me
Bo Burnham	Bezos I
Bobby Brackins ft. IamSu, Too Short & Mila J	Hot Box
Bow Wow ft. Lil Wayne	Sweat
Brent Faiyaz	Wasting Time ( feat. Drake )
Brent Faiyaz, DJ Dahi	Gravity (feat. Tyler, The Creator)
Britney Spears	Work Bitch
Britney Spears f./Tinashe	Slumber Party
Britney Spears ft G-Eazy	Make Me
BROCKHAMPTON	SUGAR
Bruno Mars	Finesse (Remix) [feat. Cardi B]
Bruno Mars	24K Magic
Bruno Mars	Locked out of Heaven
Bruno Mars	Treasure
Bryson Tiller	Don't
Bryson Tiller	Exchange
Bryson Tiller	Sorry Not Sorry
Busta Rhymes ft. Z-Tip, Kanye West & Lil Wayne	Thank You
Ca$h Out	Cashin' Out
Cadet & Deno Driz	Advice
Calboy	Envy Me
Camila Cabello Featuring DaBaby	My Oh My
Cardi B	Up
Cardi B	Money
Cardi B	Please Me
Cardi B	Be Careful
Cardi B	Bodak Yellow
Cardi B	I Like It
Cardi B Featuring Megan Thee Stallion	WAP
Carly Pearce & Lee Brice	I Hope You're Happy Now
Cash Cash & Digital Farm Animals f./Nelly	Millionaire
Cashmere Cat f./Selena Gomez & Tory Lanez	Trust Nobody
Cee Lo Green	F**K You (Forget You)
Charli XCX	Break The Rules
Charli XCX ft. Rita Ora	Doing It
Charly Black	Gyal You A Party Animal
Cheat Codes X Kris Kross Amsterdam	Sex
Chief Keef	I Don't Like
Chief Keef	Love Sosa
Childish Gambino	Redbone
Chingy	Right Thurr
Chris Brown	Back To Sleep
Chris Brown	Zero
Chris Brown & Young Thug	Go Crazy
Chris Brown Featuring Drake	No Guidance
Chris Brown ft Tyga	Ayo
Chris Brown ft Usher & Rick Ross	New Flame
Chris Brown ft. Lil Wayne and Busta Rhymes	Look At Me Now
Chris Brown ft. Nicki Minaj	Love More
Chris Brown ft. Tyga and ScHoolboy Q	Bitches and Marijuana
Ciara	I Bet
City Girls	Act Up
City Girls	Twerk
CJ	Whoopty
Clean Bandit, Mabel	Tick Tock (feat. 24kGoldn)
Cordae	Gifted (feat. Roddy Ricch)
CORPSE, Savage Ga$p	E-GIRLS ARE RUINING MY LIFE!
Curtis Waters	Stunnin' (feat. Harm Franklin)
D-Block Europe	Nookie ft. Lil Baby
D-Block Europe	Playing for Keeps
D.R.A.M. feat. Lil Yachty	Broccoli
DaBaby	Ball If I Want To
DaBaby	BLAME IT ON BABY
DaBaby	BLIND (feat. Young Thug)
DaBaby	FIND MY WAY
DaBaby	JUMP (feat. YoungBoy Never Broke Again)
DaBaby	LIGHTSKIN SH*T (feat. Future & jetsonmade)
DaBaby	PICK UP (feat. Quavo)
DaBaby	Red Light Green Light
DaBaby	ROCKSTAR (feat. Roddy Ricch)
DaBaby	TOES (feat. Lil Baby & Moneybagg Yo)
DaBaby	Babysitter
DaBaby	BOP
DaBaby	Suge
DaBaby	VIBEZ
DaBaby Featuring Roddy Ricch	Rockstar
Daddy's Cash	This Is My Party
Dave	Clash (feat. Stormzy)
Dave	Verdansk
David Guetta feat. Flo Rida and Nicki Minaj	Where Them Girls At
David Guetta ft. Nicki Minaj, Bebe Rexha & Afrojack	Hey Mama
DDG	Moonwalking in Calabasas (feat. Blueface) - Remix
Dean Lewis	Be Alright
Dej Loaf	Try Me
Dej Loaf feat. Big Sean	Back Up
Demi Lovato	I Love Me
Desiigner	Panda
Desiigner	Tiimmy Turner
Destiny's Child	Nuclear
Dev f./Nef The Pharaoh	#1
dhruv	double take
Dimitri Vegas & Like Mike	Instagram (Bassjackers Remix)  FT. David Guetta & Daddy Yankee
Dizzee Rascal	bassline Junkie
DJ Khaled	EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)
DJ Khaled	GREECE (feat. Drake)
DJ Khaled	I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)
DJ Khaled	LET IT GO (feat. Justin Bieber & 21 Savage)
DJ Khaled	No Brainer
DJ Khaled feat. Drake	For Free
DJ Khaled feat. Drake, Rick Ross and Lil Wayne	I'm On One
DJ Khaled Featuring Drake	Popstar
